[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
429.744	-99.646	407.492	2.683	-6.035
429.682	-99.258	397.859	3.155	-5.545
429.620	-102.649	388.271	3.626	-5.056
429.558	155.390	378.760	4.098	-4.567
429.496	165.339	369.352	4.571	-4.078
429.434	234.003	360.076	5.043	-3.588
429.372	170.565	350.959	5.515	-3.099
429.310	244.581	342.026	5.987	-2.610
429.247	169.347	333.301	6.458	-2.121
429.185	234.883	324.806	6.930	-1.631
429.123	220.240	316.562	7.401	-1.142
429.061	189.487	308.588	7.872	-0.653
428.999	253.770	300.902	8.342	-0.164
428.937	183.549	293.519	8.812	0.326
428.875	246.364	286.453	9.281	0.815
428.813	224.585	279.715	9.750	1.304
428.751	278.741	273.315	10.217	1.793
428.689	265.498	267.262	10.683	2.283
428.627	139.118	261.561	11.147	2.772
428.565	393.445	256.218	11.609	3.261
428.503	293.657	251.236	12.069	3.750
428.440	127.022	246.617	12.527	4.240
428.378	217.417	242.362	12.980	4.729
428.316	353.646	238.474	13.428	5.218
428.254	302.442	234.955	13.871	5.707
428.192	181.837	231.808	14.305	6.197
428.130	289.273	229.041	14.729	6.686
428.068	159.011	226.670	15.139	7.175
428.006	211.059	224.721	15.528	7.664
427.944	201.874	223.240	15.891	8.154
427.882	195.579	222.304	16.218	8.643
427.820	196.013	222.026	16.502	9.132
427.758	276.001	222.542	16.742	9.621
427.695	176.320	223.952	16.959	10.111
427.633	212.527	226.225	17.185	10.600
427.571	234.104	229.191	17.449	11.089
427.509	166.364	232.620	17.758	11.578
427.447	229.915	236.311	18.107	12.068
427.385	273.236	240.113	18.487	12.557
427.323	345.902	243.919	18.889	13.046
427.261	264.677	247.651	19.308	13.535
427.199	197.428	251.253	19.739	14.025
427.137	285.260	254.681	20.179	14.514
427.075	242.233	257.901	20.627	15.003
427.013	197.352	260.884	21.079	15.492
426.951	218.449	263.610	21.536	15.982
426.888	181.703	266.060	21.997	16.471
426.826	323.815	268.221	22.460	16.960
426.764	237.095	270.083	22.925	17.449
426.702	221.407	271.640	23.392	17.939
426.640	261.817	272.889	23.860	18.428
426.578	177.689	273.828	24.330	18.917
426.516	321.939	274.460	24.801	19.406
426.454	299.854	274.791	25.273	19.896
426.392	220.066	274.827	25.745	20.385
426.330	195.504	274.578	26.218	20.874
426.268	268.838	274.057	26.691	21.363
426.206	218.877	273.278	27.164	21.853
426.143	213.623	272.257	27.638	22.342
426.081	249.647	271.010	28.112	22.831
426.019	297.946	269.558	28.586	23.320
425.957	149.503	267.921	29.059	23.810
425.895	154.296	266.121	29.532	24.299
425.833	157.377	264.180	30.005	24.788
425.771	243.016	262.121	30.477	25.277
425.709	222.839	259.969	30.948	25.767
425.647	245.593	257.749	31.419	26.256
425.585	221.449	255.483	31.888	26.745
425.523	218.233	253.199	32.355	27.234
425.461	204.876	250.919	32.820	27.724
425.398	221.211	248.669	33.282	28.213
425.336	236.212	246.473	33.741	28.702
425.274	172.675	244.355	34.196	29.191
425.212	205.631	242.338	34.646	29.681
425.150	239.704	240.446	35.089	30.170
425.088	230.876	238.704	35.523	30.659
425.026	181.667	237.135	35.947	31.148
424.964	270.655	235.764	36.358	31.638
424.902	264.083	234.618	36.753	32.127
424.840	191.812	233.725	37.130	32.616
424.778	284.659	233.110	37.488	33.106
424.716	262.940	232.798	37.829	33.595
424.654	242.040	232.798	38.161	34.084
424.591	168.955	233.107	38.495	34.573
424.529	180.275	233.701	38.841	35.063
424.467	178.534	234.543	39.207	35.552
424.405	235.833	235.595	39.598	36.041
424.343	330.857	236.819	40.013	36.530
424.281	267.090	238.186	40.450	37.020
