[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
430.179	697.385	0.000	-524.923
430.117	697.485	0.000	-523.731
430.055	697.586	0.000	-522.545
429.992	697.687	0.000	-521.368
429.930	697.787	0.000	-520.197
429.868	697.888	0.000	-519.030
429.806	697.989	0.000	-517.870
429.744	698.090	0.000	-516.713
429.682	698.191	0.000	-515.563
429.620	698.292	0.000	-514.414
429.558	698.392	0.000	-513.271
429.496	698.493	0.000	-512.131
429.434	698.594	0.000	-510.993
429.372	698.695	0.000	-509.860
429.310	698.796	0.000	-508.729
429.248	698.897	0.000	-507.601
429.185	698.999	0.000	-506.475
429.123	699.100	0.000	-505.352
429.061	699.201	0.000	-504.230
428.999	699.302	0.000	-503.110
428.937	699.403	0.000	-501.993
428.875	699.504	0.000	-500.877
428.813	699.606	0.000	-499.762
428.751	699.707	0.000	-498.650
428.689	699.808	0.000	-497.539
428.627	699.910	0.000	-496.428
428.565	700.011	0.000	-495.321
428.503	700.113	0.000	-494.212
428.440	700.214	0.000	-493.107
428.378	700.315	0.000	-492.001
428.316	700.417	0.000	-490.898
428.254	700.518	0.000	-489.795
428.192	700.620	0.000	-488.693
428.130	700.722	0.000	-487.594
428.068	700.823	0.000	-486.494
428.006	700.925	0.000	-485.397
427.944	701.027	0.000	-484.301
427.882	701.128	0.000	-483.208
427.820	701.230	0.000	-482.116
427.758	701.332	0.000	-481.025
427.696	701.434	0.000	-479.940
427.633	701.535	0.000	-478.856
427.571	701.637	0.000	-477.779
427.509	701.739	0.000	-476.704
427.447	701.841	0.000	-475.637
427.385	701.943	0.000	-474.577
427.323	702.045	0.000	-473.524
427.261	702.147	0.000	-472.481
427.199	702.249	0.000	-471.443
427.137	702.351	0.000	-470.416
427.075	702.453	0.000	-469.392
427.013	702.555	0.000	-468.374
426.951	702.658	0.000	-467.358
426.888	702.760	0.000	-466.344
426.826	702.862	0.000	-465.332
426.764	702.964	0.000	-464.316
426.702	703.066	0.000	-463.302
426.640	703.169	0.000	-462.282
426.578	703.271	0.000	-461.261
426.516	703.373	0.000	-460.234
426.454	703.476	0.000	-459.202
426.392	703.578	0.000	-458.166
426.330	703.681	0.000	-457.123
426.268	703.783	0.000	-456.073
426.206	703.886	0.000	-455.017
426.144	703.988	0.000	-453.954
426.081	704.091	0.000	-452.884
426.019	704.193	0.000	-451.807
425.957	704.296	0.000	-450.721
425.895	704.399	0.000	-449.628
425.833	704.501	0.000	-448.527
425.771	704.604	0.000	-447.417
425.709	704.707	0.000	-446.298
425.647	704.810	0.000	-445.168
425.585	704.912	0.000	-444.030
425.523	705.015	0.000	-442.877
425.461	705.118	0.000	-441.713
425.399	705.221	0.000	-440.535
425.336	705.324	0.000	-439.345
425.274	705.427	0.000	-438.141
425.212	705.530	0.000	-436.923
425.150	705.633	0.000	-435.698
425.088	705.736	0.000	-434.460
425.026	705.839	0.000	-433.217
424.964	705.942	0.000	-431.966
424.902	706.045	0.000	-430.711
424.840	706.149	0.000	-429.450
424.778	706.252	0.000	-428.186
424.716	706.355	0.000	-426.922
424.654	706.458	0.000	-425.650
424.592	706.561	0.000	-424.382
424.529	706.665	0.000	-423.109
424.467	706.768	0.000	-421.837
424.405	706.872	0.000	-420.563
424.343	706.975	0.000	-419.290
424.281	707.078	0.000	-418.018
424.219	707.182	0.000	-416.744
424.157	707.285	0.000	-415.474
424.095	707.389	0.000	-414.202
424.033	707.493	0.000	-412.932
423.971	707.596	0.000	-411.666
423.909	707.700	0.000	-410.400
423.847	707.803	0.000	-409.137
423.784	707.907	0.000	-407.875
423.722	708.011	0.000	-406.618
423.660	708.115	0.000	-405.363
423.598	708.218	0.000	-404.111
423.536	708.322	0.000	-402.863
423.474	708.426	0.000	-401.618
423.412	708.530	0.000	-400.377
423.350	708.634	0.000	-399.141
423.288	708.738	0.000	-397.909
423.226	708.842	0.000	-396.681
423.164	708.946	0.000	-395.458
423.102	709.050	0.000	-394.239
423.039	709.154	0.000	-393.025
422.977	709.258	0.000	-391.818
