[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
803.654	32.645	44.423	-2.907	6.941
803.592	67.522	44.581	-2.484	7.431
803.530	59.274	44.805	-2.062	7.922
803.468	58.549	45.097	-1.638	8.413
803.406	81.360	45.458	-1.212	8.904
803.344	45.211	45.888	-0.784	9.395
803.282	-1.823	46.385	-0.352	9.885
803.220	37.222	46.948	0.083	10.377
803.158	60.545	47.572	0.522	10.867
803.095	16.312	48.253	0.965	11.358
803.033	14.430	48.989	1.412	11.848
802.971	39.093	49.773	1.862	12.340
802.909	9.795	50.602	2.315	12.830
802.847	-8.871	51.471	2.772	13.321
802.785	19.478	52.375	3.232	13.812
802.723	23.173	53.309	3.694	14.303
802.661	0.621	54.269	4.160	14.794
802.599	-3.428	55.249	4.628	15.284
802.537	13.002	56.244	5.098	15.775
802.475	50.214	57.251	5.571	16.266
802.413	119.652	58.262	6.046	16.757
802.351	158.207	59.274	6.523	17.248
802.288	90.854	60.282	7.003	17.738
802.226	13.501	61.280	7.484	18.230
802.164	-2.791	62.263	7.968	18.720
802.102	-0.271	63.228	8.454	19.211
802.040	4.169	64.168	8.942	19.701
801.978	14.948	65.081	9.432	20.193
801.916	25.797	65.961	9.924	20.683
801.854	40.020	66.805	10.419	21.174
801.792	75.439	67.609	10.916	21.665
801.730	94.246	68.371	11.416	22.156
801.668	52.934	69.087	11.918	22.647
801.606	27.920	69.757	12.422	23.137
801.543	52.829	70.378	12.930	23.628
801.481	61.163	70.949	13.440	24.119
801.419	57.735	71.471	13.953	24.610
801.357	73.945	71.945	14.469	25.101
801.295	63.360	72.370	14.988	25.591
801.233	30.538	72.750	15.509	26.082
801.171	61.111	73.087	16.034	26.573
801.109	98.312	73.382	16.560	27.064
801.047	54.594	73.639	17.090	27.554
800.985	17.917	73.859	17.621	28.045
800.923	34.723	74.047	18.153	28.536
800.861	54.876	74.202	18.687	29.027
800.799	64.274	74.327	19.221	29.518
800.736	68.942	74.422	19.756	30.008
800.674	69.432	74.487	20.290	30.500
800.612	63.882	74.519	20.824	30.990
800.550	49.402	74.517	21.356	31.481
800.488	27.666	74.477	21.886	31.972
800.426	11.902	74.397	22.415	32.463
800.364	37.919	74.273	22.942	32.953
800.302	74.231	74.101	23.466	33.444
800.240	38.522	73.877	23.987	33.935
800.178	7.179	73.598	24.507	34.426
800.116	53.611	73.262	25.023	34.917
800.054	90.692	72.865	25.538	35.407
799.991	77.709	72.408	26.049	35.898
799.929	40.936	71.888	26.559	36.389
799.867	22.279	71.306	27.066	36.880
799.805	33.360	70.663	27.572	37.371
799.743	18.219	69.961	28.075	37.861
799.681	-18.596	69.201	28.576	38.353
799.619	-24.293	68.388	29.076	38.843
799.557	16.794	67.525	29.574	39.334
799.495	83.044	66.617	30.070	39.825
799.433	113.036	65.669	30.565	40.316
799.371	104.676	64.686	31.058	40.806
799.309	91.820	63.676	31.550	41.297
799.246	75.592	62.644	32.041	41.788
799.184	53.926	61.598	32.530	42.279
799.122	31.237	60.545	33.018	42.770
799.060	-0.173	59.492	33.505	43.260
798.998	-37.344	58.446	33.991	43.751
798.936	-17.940	57.416	34.475	44.242
798.874	44.016	56.408	34.959	44.733
798.812	42.356	55.430	35.441	45.224
798.750	12.764	54.488	35.922	45.714
798.688	14.631	53.591	36.402	46.206
798.626	-17.368	52.744	36.881	46.696
798.564	-40.704	51.953	37.358	47.187
798.502	72.790	51.225	37.835	47.678
798.439	154.483	50.563	38.310	48.169
798.377	61.675	49.973	38.784	48.659
798.315	-40.121	49.458	39.256	49.150
798.253	-62.467	49.022	39.727	49.641
798.191	-21.479	48.668	40.197	50.132
798.129	39.425	48.396	40.665	50.623
798.067	68.529	48.208	41.132	51.113
798.005	22.802	48.104	41.596	51.604
797.943	-26.520	48.084	42.060	52.095
797.881	17.783	48.147	42.521	52.586
797.819	62.044	48.289	42.981	53.077
797.757	51.522	48.508	43.438	53.567
797.694	43.282	48.801	43.893	54.059
797.632	50.326	49.162	44.347	54.549
797.570	56.162	49.587	44.798	55.040
797.508	40.396	50.069	45.246	55.531
797.446	21.788	50.602	45.692	56.022
797.384	48.372	51.177	46.135	56.512
797.322	78.612	51.789	46.576	57.003
797.260	62.881	52.427	47.014	57.494
797.198	17.529	53.084	47.448	57.984
797.136	-12.220	53.750	47.879	58.476
797.074	15.647	54.418	48.306	58.966
797.012	45.759	55.077	48.728	59.457
796.950	42.145	55.720	49.146	59.948
796.887	47.111	56.338	49.557	60.439
796.825	62.035	56.926	49.962	60.929
796.763	63.153	57.477	50.358	61.420
796.701	47.074	57.989	50.743	61.911
796.639	39.972	58.460	51.114	62.402
796.577	84.514	58.893	51.469	62.893
796.515	107.990	59.294	51.805	63.384
796.453	54.523	59.672	52.120	63.874
796.391	43.876	60.040	52.416	64.365
796.329	83.995	60.410	52.699	64.856
796.267	76.090	60.787	52.980	65.347
796.205	51.234	61.168	53.272	65.837
796.142	57.032	61.539	53.584	66.329
796.080	84.951	61.884	53.920	66.819
796.018	85.477	62.188	54.281	67.310
795.956	22.487	62.437	54.664	67.801
795.894	-0.649	62.622	55.065	68.292
795.832	44.859	62.736	55.482	68.782
795.770	57.433	62.776	55.912	69.273
795.708	33.052	62.740	56.353	69.764
795.646	13.313	62.630	56.804	70.255
795.584	20.420	62.447	57.263	70.746
795.522	55.094	62.193	57.728	71.237
795.460	96.509	61.874	58.200	71.727
795.398	101.877	61.493	58.678	72.218
795.335	59.146	61.057	59.161	72.709
795.273	23.110	60.571	59.648	73.200
795.211	29.906	60.042	60.141	73.690
795.149	76.991	59.478	60.637	74.182
795.087	86.602	58.887	61.138	74.672
795.025	49.724	58.276	61.644	75.163
794.963	52.921	57.654	62.153	75.654
794.901	91.026	57.031	62.666	76.145
794.839	114.147	56.414	63.183	76.635
794.777	77.596	55.814	63.704	77.126
794.715	20.348	55.240	64.228	77.617
794.653	24.591	54.700	64.756	78.108
794.590	31.886	54.205	65.288	78.599
794.528	2.933	53.762	65.823	79.090
794.466	-6.021	53.380	66.361	79.580
794.404	12.375	53.067	66.901	80.071
794.342	39.602	52.829	67.444	80.562
794.280	80.217	52.672	67.989	81.053
794.218	92.453	52.602	68.535	81.543
