[time (fs)]	[Fourier limited intensity]	[intensity]	[phase (rad)]
-491.622	0.000	0.000	27.246
-490.639	0.000	0.000	27.164
-489.655	0.000	0.000	27.083
-488.672	0.000	0.000	27.003
-487.689	0.000	0.000	26.923
-486.706	0.000	0.000	26.843
-485.722	0.000	0.000	26.764
-484.739	0.000	0.000	26.685
-483.756	0.000	0.000	26.606
-482.773	0.000	0.000	26.528
-481.789	0.000	0.000	26.450
-480.806	0.000	0.000	26.372
-479.823	0.000	0.000	26.293
-478.840	0.000	0.000	26.215
-477.856	0.000	0.000	26.136
-476.873	0.000	0.000	26.057
-475.890	0.000	0.000	25.978
-474.907	0.000	0.000	25.898
-473.923	0.000	0.000	25.817
-472.940	0.000	0.000	25.736
-471.957	0.000	0.000	25.655
-470.974	0.000	0.000	25.573
-469.990	0.000	0.000	25.490
-469.007	0.000	0.000	25.406
-468.024	0.000	0.000	25.322
-467.041	0.000	0.000	25.237
-466.057	0.000	0.000	25.151
-465.074	0.000	0.000	25.066
-464.091	0.000	0.000	24.980
-463.108	0.000	0.000	24.893
-462.124	0.000	0.000	24.807
-461.141	0.000	0.000	24.720
-460.158	0.000	0.000	24.634
-459.175	0.000	0.000	24.548
-458.191	0.000	0.000	24.462
-457.208	0.000	0.000	24.377
-456.225	0.000	0.000	24.292
-455.242	0.000	0.000	24.208
-454.259	0.000	0.000	24.125
-453.275	0.000	0.000	24.042
-452.292	0.000	0.000	23.960
-451.309	0.000	0.000	23.879
-450.326	0.000	0.000	23.798
-449.342	0.000	0.000	23.718
-448.359	0.000	0.000	23.639
-447.376	0.000	0.000	23.560
-446.393	0.000	0.000	23.482
-445.409	0.000	0.000	23.404
-444.426	0.000	0.000	23.326
-443.443	0.000	0.000	23.248
-442.460	0.000	0.000	23.171
-441.476	0.000	0.000	23.093
-440.493	0.000	0.000	23.015
-439.510	0.000	0.000	22.937
-438.527	0.000	0.000	22.858
-437.543	0.000	0.000	22.779
-436.560	0.000	0.000	22.699
-435.577	0.000	0.000	22.619
-434.594	0.000	0.000	22.537
-433.610	0.000	0.000	22.455
-432.627	0.000	0.000	22.372
-431.644	0.000	0.000	22.288
-430.661	0.000	0.000	22.204
-429.677	0.000	0.000	22.118
-428.694	0.000	0.000	22.032
-427.711	0.000	0.000	21.945
-426.728	0.000	0.000	21.858
-425.744	0.000	0.000	21.770
-424.761	0.000	0.000	21.682
-423.778	0.000	0.000	21.593
-422.795	0.000	0.000	21.505
-421.811	0.000	0.000	21.417
-420.828	0.000	0.000	21.330
-419.845	0.000	0.000	21.243
-418.862	0.000	0.000	21.157
-417.879	0.000	0.000	21.071
-416.895	0.000	0.000	20.986
-415.912	0.000	0.000	20.902
-414.929	0.000	0.000	20.820
-413.946	0.000	0.000	20.738
-412.962	0.000	0.000	20.656
-411.979	0.000	0.000	20.576
-410.996	0.000	0.000	20.497
-410.013	0.000	0.000	20.418
-409.029	0.000	0.000	20.340
-408.046	0.000	0.000	20.263
-407.063	0.000	0.000	20.185
-406.080	0.000	0.000	20.108
-405.096	0.000	0.000	20.032
-404.113	0.000	0.000	19.955
-403.130	0.000	0.000	19.878
-402.147	0.000	0.000	19.801
-401.163	0.000	0.000	19.724
-400.180	0.000	0.000	19.646
-399.197	0.000	0.000	19.567
-398.214	0.000	0.000	19.488
-397.230	0.000	0.000	19.407
-396.247	0.000	0.000	19.326
-395.264	0.000	0.000	19.244
-394.281	0.000	0.000	19.161
-393.297	0.000	0.000	19.078
-392.314	0.000	0.000	18.993
-391.331	0.000	0.000	18.907
-390.348	0.000	0.000	18.820
-389.364	0.000	0.000	18.733
-388.381	0.000	0.000	18.646
-387.398	0.000	0.000	18.558
-386.415	0.000	0.000	18.469
-385.431	0.000	0.000	18.381
-384.448	0.000	0.000	18.293
-383.465	0.000	0.000	18.206
-382.482	0.000	0.000	18.119
-381.499	0.000	0.000	18.033
-380.515	0.000	0.000	17.947
-379.532	0.000	0.000	17.863
-378.549	0.000	0.000	17.780
-377.566	0.000	0.000	17.698
